#,קוד פריט,ספק,קטגוריה,שם מוצר,תיאור,יחידה,מחיר אר-אל,מחיר לאחר הנחה,תיאור נוסף,
583,9220102,נתון חסר,אביזרי ניקיון,כפפות  ניטריל כחול ללא אבקה M,ארוז 10 קרטונים,יח',0,0,,
582,9220101,נתון חסר,אביזרי ניקיון,כפפות  ניטריל כחול ללא אבקה S,ארוז 10 קרטונים,יח',0,0,,
585,9220105,נתון חסר,אביזרי ניקיון,כפפות  ניטריל כחול ללא אבקה XL,ארוז 10 קרטונים,יח',0,0,,
495,711170,נתון חסר,אביזרי ניקיון,כפפות לטקס ללא אבקה KGR 1/100 L,ארוז 10 קרטונים,יח',0,0,,
579,922003,נתון חסר,אביזרי ניקיון,כפפות משק בית (זוג) S,בודד,יח',0,0,,
580,9220033,נתון חסר,אביזרי ניקיון,כפפות משק בית (זוג) XL,בודד,יח',0,0,,
577,9220027,נתון חסר,אביזרי ניקיון,כפפות ניטריל שחור ללא אבקה L,ארוז 10 קרטונים,יח',0,0,,
578,9220028,נתון חסר,אביזרי ניקיון,כפפות ניטריל שחור ללא אבקה M,ארוז 10 קרטונים,יח',0,0,,
,9220155,נתון חסר,אביזרי ניקיון,כפפות ניטריל שחור ללא אבקה S,ארוז 10 קרטונים,יח',0,0,,
586,9220125,נתון חסר,אביזרי ניקיון,כפפות ניטריל שחור ללא אבקה XL,ארוז 10 קרטונים,יח',0,0,,
602,926003,נתון חסר,אביזרי ניקיון,כרית יפנית,ארוז 36 יח',יח',0,0,,
461,711033,נתון חסר,מסעדנות,מארז ביו 3- צבע לבן א-300 יח',ארוז 300 יח',יח',0,0,,
610,9285495,נתון חסר,אביזרי ניקיון,מברשת נוצות גדולה,בודד,יח',0,0,,
609,9285455,נתון חסר,אביזרי ניקיון,מברשת ניקוי מגהץ,בודד,יח',0,0,,
597,924017,נתון חסר,אביזרי ניקיון,מגב חלון / שיש 20 ס'מ פלסטיק,בודד,יח',0,0,,
596,924009,נתון חסר,אביזרי ניקיון,מגב סיליקון 43 סמ' עם קליפס,בודד,יח',0,0,,
598,924040,נתון חסר,אביזרי ניקיון,"מגב פלסטיק 40 ס""מ + תופסן",בודד,יח',0,0,,
594,924001,נתון חסר,אביזרי ניקיון,מגב פלסטיק 40 עם הברגה,בודד,יח',0,0,,
595,924002,נתון חסר,אביזרי ניקיון,מגב פלסטיק 60 חדש עם הברגה,בודד,יח',0,0,,
471,711049,נתון חסר,מסעדנות,מגבון לח אישי שחור,ארוז 1000 יח',יח',0,0,,
211,232255,נתון חסר,אביזרי ניקיון,מגבונים לחים 72 דף,ארוז 6 יח',יח',0,0,,
557,913063,נתון חסר,חד פעמי,מזלג איכותי שנהב /שקוף 1/50,ריק,יח',0,0,,
573,920019,נתון חסר,אביזרי ניקיון,"מטאטא אולמות 60 ס""מ עץ",בודד,יח',0,0,,
